Matt Galvan,0,0,0,0,0,0,0,0
K-9,0,0,0,0,0,0,0,0
Patrick Thoughton,0,0,0,0,0,0,0,0
Jon Pertwee,0,0,0,0,0,0,0,0
David Tennant,0,0,0,0,0,0,0,0
Tom Baker,0,0,0,0,0,0,0,0
Christopher Eccleson,0,0,0,0,0,0,0,0
William Hartnell,0,0,0,0,0,0,0,0
Sylvester McCoy,0,0,0,0,0,0,0,0
Vince Spina,0,0,0,0,0,0,0,0
Paul McGann,0,0,0,0,0,0,0,0
Peter Davison,0,0,0,0,0,0,0,0
Matt Smith,0,0,0,0,0,0,0,0
Peter Capaldi,0,0,0,0,0,0,0,0
Jack Harkness,0,0,0,0,0,0,0,0
The Master,0,0,0,0,0,0,0,0
Colin Baker,0,0,0,0,0,0,0,0
Dalek Prime,0,0,0,0,0,0,0,0
